                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2729,                 5.0399,                 1.6001,                0.23937,                0.13579,                0.03348,                0.01614,                 2.5382,                 8.5082,                 1.5528,                 0.0973,                 0.0003,                 0.0003
                      1,                 2.0601,                 5.1717,                 1.5442,                0.25714,                0.10537,                0.03549,                0.01836,                 2.5354,                 6.6152,                 1.5641,               0.093672,             0.00067228,             0.00067228
                      2,                 2.0717,                 4.4587,                 1.5004,                0.29651,                0.11259,                 0.0587,                0.02824,                 2.4297,                 4.3247,                 1.5279,               0.090013,              0.0010129,              0.0010129
                      3,                 2.1056,                 3.9998,                 1.5002,                0.29907,                0.17175,                0.08439,                0.04287,                 2.3523,                 3.2273,                 1.5051,               0.086322,              0.0013218,              0.0013218
                      4,                 2.0378,                 3.3498,                 1.4861,                 0.5088,                0.13889,                0.11548,                0.05997,                 2.3179,                 2.8323,                 1.4979,               0.082599,               0.001599,               0.001599
                      5,                 1.8856,                 2.8933,                 1.4033,                0.71691,                0.17364,                0.13875,                0.05728,                 2.1935,                 2.9717,                 1.4249,               0.078845,              0.0018446,              0.0018446
                      6,                 2.0371,                 2.7698,                 1.4562,                0.62246,                 0.1964,                0.14757,                0.06748,                 2.0896,                   3.23,                 1.3769,               0.075058,              0.0020585,              0.0020585
                      7,                 1.6813,                 2.1792,                 1.3291,                0.42316,                0.25081,                0.16711,                0.07596,                 2.0674,                  3.008,                 1.3687,               0.071241,              0.0022407,              0.0022407
                      8,                  1.613,                 1.8589,                 1.3071,                0.34841,                0.31911,                0.19409,                0.08471,                 2.0528,                  3.032,                  1.369,               0.067391,              0.0023912,              0.0023912
                      9,                 1.7068,                 1.7741,                 1.3042,                0.37109,                  0.214,                0.21595,                0.09846,                 1.9942,                 3.1609,                 1.3465,                0.06351,                0.00251,                0.00251
                     10,                 1.5448,                 1.5053,                 1.2169,                0.44125,                0.24066,                0.22063,                0.10236,                 1.9899,                 3.3175,                 1.3438,               0.059597,              0.0025972,              0.0025972
                     11,                 1.4903,                 1.4013,                 1.1934,                0.36148,                0.39773,                0.24932,                0.10938,                 1.9734,                 2.9809,                 1.3442,               0.055653,              0.0026527,              0.0026527
                     12,                 1.5289,                 1.4382,                 1.2142,                 0.4624,                0.31986,                0.29907,                  0.133,                 1.9447,                 2.5778,                 1.3373,               0.051676,              0.0026765,              0.0026765
                     13,                 1.4373,                 1.3237,                 1.1793,                0.51678,                 0.3382,                0.30643,                0.14375,                    1.9,                 2.2748,                 1.3374,               0.047669,              0.0026686,              0.0026686
                     14,                 1.5389,                 1.4648,                 1.2377,                0.56854,                0.32087,                0.33028,                0.15519,                 1.9139,                  1.917,                 1.3571,               0.043629,               0.002629,               0.002629
                     15,                 1.4865,                 1.4549,                 1.1976,                 0.5616,                 0.3627,                0.35801,                0.15302,                 1.9596,                  1.764,                 1.3785,               0.039558,              0.0025578,              0.0025578
                     16,                 1.4685,                 1.2895,                 1.1535,                 0.5484,                0.35209,                0.36465,                0.16716,                  1.951,                 1.6784,                  1.358,               0.035455,              0.0024549,              0.0024549
                     17,                 1.4866,                 1.3672,                 1.1708,                 0.4625,                0.37231,                0.39236,                 0.1711,                 1.9325,                 1.6414,                 1.3775,                0.03132,              0.0023203,              0.0023203
                     18,                  1.423,                 1.2651,                 1.1847,                0.60493,                0.40474,                0.39992,                0.17049,                 1.9414,                 1.6279,                 1.3751,               0.027154,               0.002154,               0.002154
                     19,                  1.444,                 1.1971,                 1.1665,                0.44134,                0.40098,                0.39872,                0.15644,                 1.9838,                 1.6309,                 1.3975,               0.022956,               0.001956,               0.001956
                     20,                 1.4056,                 1.1482,                 1.1504,                0.58435,                 0.3763,                0.35495,                0.15712,                 1.9754,                 1.7052,                 1.3845,               0.018726,              0.0017264,              0.0017264
                     21,                 1.2792,                 1.0979,                 1.1243,                0.37185,                0.38205,                 0.3463,                0.15953,                 1.9891,                 1.7469,                 1.4019,               0.014465,              0.0014651,              0.0014651
                     22,                  1.331,                 1.0976,                  1.149,                0.40002,                0.41911,                0.38242,                0.17153,                 1.9927,                  1.734,                 1.4166,               0.010172,              0.0011721,              0.0011721
                     23,                 1.3543,                 1.0503,                 1.1199,                0.41755,                 0.4214,                0.38496,                 0.1648,                 1.9602,                 1.7166,                 1.4021,              0.0058474,              0.0008474,              0.0008474
                     24,                 1.3337,                 1.0607,                 1.1346,                0.47221,                0.37132,                0.37798,                0.16879,                 1.9375,                 1.7066,                 1.4009,               0.001491,             0.00049104,             0.00049104
